,Date du Relevé,Compte,Type,Ticker,Quantité,Average Cost,Exposition,Date,Close,Latent PnL
306,2020-01-09,DU1507426,Stock,GPC,-98.0,101.89,-9985.22,2020-01-08,101.42,46.059999999999896
307,2020-01-09,DU1507426,Stock,PKI,-102.0,97.79,-9974.58,2020-01-08,98.59,-81.59999999999971
308,2020-01-09,DU1507426,Stock,BKNG,-5.0,2063.67,-10318.35,2020-01-08,2062.9,3.8499999999999086
309,2020-01-09,DU1507426,Stock,KEY,-511.0,19.56,-9995.16,2020-01-08,19.65,-45.989999999999924
310,2020-01-09,DU1507426,Stock,TJX,-164.0,61.05,-10012.2,2020-01-08,61.92,-142.68000000000075
311,2020-01-09,DU1507426,Stock,CXO,-117.0,85.82,-10040.94,2020-01-08,90.86,-589.6800000000007
312,2020-01-09,DU1507426,Stock,FITB,-336.0,29.91,-10049.76,2020-01-08,29.92,-3.360000000000525
313,2020-01-09,DU1507426,Stock,PPG,76.0,130.4,9910.4,2020-01-08,128.41,-151.2400000000007
314,2020-01-09,DU1507426,Stock,JWN,-251.0,40.51,-10168.01,2020-01-08,42.14,-409.1300000000006
315,2020-01-09,DU1507426,Stock,OKE,-132.0,75.6,-9979.2,2020-01-08,75.65,-6.600000000001501
316,2020-01-09,DU1507426,Stock,L,-192.0,51.98,-9980.16,2020-01-08,51.85,24.959999999999127
317,2020-01-09,DU1507426,Stock,ADI,84.0,119.83,10065.72,2020-01-08,120.66,69.71999999999986
318,2020-01-09,DU1507426,Stock,UTX,-65.0,152.81,-9932.65,2020-01-08,153.42,-39.64999999999904
319,2020-01-09,DU1507426,Stock,KR,-349.0,28.59,-9977.91,2020-01-08,28.42,59.32999999999936
320,2020-01-09,DU1507426,Stock,DVA,133.0,75.14,9993.62,2020-01-08,75.53,51.870000000000076
321,2020-01-09,DU1507426,Stock,VNO,-152.0,65.77,-9997.04,2020-01-08,65.92,-22.800000000000864
322,2020-01-09,DU1507426,Stock,FBHS,-153.0,65.27,-9986.31,2020-01-08,66.79,-232.5600000000016
323,2020-01-09,DU1507426,Stock,XRX,267.0,37.44,9996.48,2020-01-08,35.93,-403.16999999999945
324,2020-01-09,DU1507426,Stock,HOG,-276.0,36.51,-10076.76,2020-01-08,36.53,-5.520000000000863
325,2020-01-09,DU1507426,Stock,XLNX,-101.0,99.25,-10024.25,2020-01-08,99.18,7.069999999999311
326,2020-01-09,DU1507426,Stock,NCLH,-176.0,56.68,-9975.68,2020-01-08,57.57,-156.6400000000001
327,2020-01-09,DU1507426,Stock,WFC,-191.0,52.79,-10082.89,2020-01-08,52.82,-5.730000000000218
328,2020-01-09,DU1507426,Stock,SCHW,-212.0,47.35,-10038.2,2020-01-08,47.91,-118.719999999999
329,2020-01-09,DU1507426,Stock,BA,-30.0,332.05,-9961.5,2020-01-08,331.37,20.4000000000002
330,2020-01-09,DU1507426,Stock,MAS,-209.0,48.12,-10057.08,2020-01-08,47.32,167.19999999999942
331,2020-01-09,DU1507426,Stock,CLX,-66.0,152.16,-10042.56,2020-01-08,151.97,12.53999999999985
332,2020-01-09,DU1507426,Stock,VLO,-109.0,91.36,-9958.24,2020-01-08,93.09,-188.57000000000042
333,2020-01-09,DU1507426,Stock,EMN,-2.0,75.0,-150.0,2020-01-08,75.2,-0.4000000000000057
334,2020-01-10,DU1507426,Stock,DHI,-189.0,53.32,-10077.48,2020-01-09,53.27,9.449999999999463
335,2020-01-10,DU1507426,Stock,DOV,-86.0,116.38,-10008.68,2020-01-09,117.12,-63.64000000000078
336,2020-01-10,DU1507426,Stock,WDC,-161.0,62.26,-10023.86,2020-01-09,68.62,-1023.9600000000012
337,2020-01-10,DU1507426,Stock,CAH,-200.0,50.18,-10036.0,2020-01-09,50.3,-23.99999999999949
338,2020-01-10,DU1507426,Stock,AME,-99.0,101.47,-10045.53,2020-01-09,101.36,10.889999999999942
339,2020-01-10,DU1507426,Stock,MLM,-36.0,278.14,-10013.04,2020-01-09,277.61,19.07999999999901
340,2020-01-10,DU1507426,Stock,WMB,-426.0,23.53,-10023.78,2020-01-09,23.67,-59.640000000000235
341,2020-01-10,DU1507426,Stock,LHX,-47.0,210.84,-9909.48,2020-01-09,212.29,-68.14999999999947
342,2020-01-10,DU1507426,Stock,CHTR,-21.0,485.32,-10191.72,2020-01-09,507.28,-461.1599999999996
343,2020-01-10,DU1507426,Stock,ITW,-56.0,177.98,-9966.88,2020-01-09,179.63,-92.4000000000003
344,2020-01-10,DU1507426,Stock,NWSA,-708.0,14.11,-9989.88,2020-01-09,14.43,-226.5600000000002
345,2020-01-10,DU1507426,Stock,DTE,-78.0,129.16,-10074.48,2020-01-09,128.66,39.0
346,2020-01-10,DU1507426,Stock,MPC,170.0,58.48,9941.6,2020-01-09,59.39,154.70000000000059
347,2020-01-10,DU1507426,Stock,ROK,-49.0,203.28,-9960.72,2020-01-09,207.17,-190.6099999999993
348,2020-01-10,DU1507426,Stock,NLSN,496.0,20.16,9999.36,2020-01-09,20.09,-34.72000000000014
349,2020-01-10,DU1507426,Stock,BKNG,-5.0,2063.67,-10318.35,2020-01-09,2084.29,-103.09999999999944
350,2020-01-10,DU1507426,Stock,COTY,-952.0,10.52,-10015.04,2020-01-09,10.75,-218.9600000000004
351,2020-01-10,DU1507426,Stock,CXO,-117.0,85.82,-10040.94,2020-01-09,90.35,-530.0100000000001
352,2020-01-10,DU1507426,Stock,FITB,-336.0,29.91,-10049.76,2020-01-09,30.25,-114.23999999999997
353,2020-01-10,DU1507426,Stock,PPG,76.0,130.4,9910.4,2020-01-09,128.66,-132.24000000000072
354,2020-01-10,DU1507426,Stock,JWN,-251.0,40.51,-10168.01,2020-01-09,42.2,-424.19000000000125
355,2020-01-10,DU1507426,Stock,L,-192.0,51.98,-9980.16,2020-01-09,52.71,-140.16000000000076
356,2020-01-10,DU1507426,Stock,PPL,-283.0,35.3,-9989.9,2020-01-09,35.51,-59.43000000000024
357,2020-01-10,DU1507426,Stock,ADI,84.0,119.83,10065.72,2020-01-09,120.66,69.71999999999986
358,2020-01-10,DU1507426,Stock,UTX,-65.0,152.81,-9932.65,2020-01-09,153.65,-54.60000000000022
359,2020-01-10,DU1507426,Stock,DVA,133.0,75.14,9993.62,2020-01-09,75.58,58.519999999999705
360,2020-01-10,DU1507426,Stock,VNO,-152.0,65.77,-9997.04,2020-01-09,66.11,-51.68000000000053
361,2020-01-10,DU1507426,Stock,BWA,-235.0,42.79,-10055.65,2020-01-09,41.93,202.09999999999985
362,2020-01-10,DU1507426,Stock,PSX,-96.0,103.88,-9972.48,2020-01-09,105.62,-167.04000000000087
363,2020-01-10,DU1507426,Stock,NCLH,-176.0,56.68,-9975.68,2020-01-09,58.06,-242.88000000000042
364,2020-01-10,DU1507426,Stock,WFC,-191.0,52.79,-10082.89,2020-01-09,52.73,11.460000000000436
365,2020-01-10,DU1507426,Stock,MAS,-209.0,48.12,-10057.08,2020-01-09,47.42,146.29999999999907
366,2020-01-10,DU1507426,Stock,VLO,-109.0,91.36,-9958.24,2020-01-09,95.18,-416.38000000000085
367,2020-01-10,DU1507426,Stock,MXIM,-163.0,61.16,-9969.08,2020-01-09,62.03,-141.81000000000074
368,2020-01-10,DU1507426,Stock,CPB,-211.0,47.34,-9988.74,2020-01-09,47.62,-59.07999999999874
369,2020-01-10,DU1507426,Stock,SHW,-18.0,563.63,-10145.34,2020-01-09,565.63,-36.0
370,2020-01-10,DU1507426,Stock,FANG,-107.0,93.13,-9964.91,2020-01-09,94.15,-109.14000000000108
371,2020-01-10,DU1507426,Stock,PH,-48.0,206.47,-9910.56,2020-01-09,207.13,-31.679999999999836
372,2020-01-10,DU1507426,Stock,C,-127.0,78.7,-9994.9,2020-01-09,80.08,-175.2599999999994
373,2020-01-10,DU1507426,Stock,PFG,-182.0,54.88,-9988.16,2020-01-09,56.18,-236.59999999999943
374,2020-01-10,DU1507426,Stock,ABC,118.0,83.3,9829.4,2020-01-09,86.66,396.4799999999999
375,2020-01-10,DU1507426,Stock,EQIX,-17.0,582.56,-9903.52,2020-01-09,588.99,-109.31000000000108
376,2020-01-10,DU1507426,Stock,VZ,165.0,60.53,9987.45,2020-01-09,58.85,-277.2
377,2020-01-10,DU1507426,Stock,COF,-99.0,101.67,-10065.33,2020-01-09,102.51,-83.16000000000034
378,2020-01-10,DU1507426,Stock,MS,-194.0,52.18,-10122.92,2020-01-09,52.06,23.279999999999504
379,2020-01-10,DU1507426,Stock,AOS,-211.0,47.5,-10022.5,2020-01-09,47.05,94.95000000000059
380,2020-01-10,DU1507426,Stock,FLS,-402.0,50.24,-20196.48,2020-01-09,50.65,-164.81999999999863
381,2020-01-10,DU1507426,Stock,AON,-48.0,207.52,-9960.96,2020-01-09,209.1,-75.83999999999924
382,2020-01-10,DU1507426,Stock,CTSH,-100.0,60.62,-6062.0,2020-01-09,61.11,-49.0000000000002
383,2020-01-10,DU1507426,Stock,UPS,-86.0,116.55,-10023.3,2020-01-09,116.93,-32.68000000000083
384,2020-01-10,DU1507426,Stock,LEN,173.0,57.72,9985.56,2020-01-09,57.69,-5.190000000000199
385,2020-01-10,DU1507426,Stock,WYNN,-71.0,141.17,-10023.07,2020-01-09,142.15,-69.58000000000129
386,2020-01-10,DU1507426,Stock,EFX,-68.0,146.47,-9959.96,2020-01-09,147.98,-102.67999999999935
387,2020-01-10,DU1507426,Stock,GPC,-98.0,101.89,-9985.22,2020-01-09,100.81,105.83999999999985
388,2020-01-10,DU1507426,Stock,PKI,-102.0,97.79,-9974.58,2020-01-09,99.86,-211.1399999999993
389,2020-01-10,DU1507426,Stock,KEY,-511.0,19.56,-9995.16,2020-01-09,19.69,-66.43000000000131
390,2020-01-10,DU1507426,Stock,PCAR,-127.0,78.9,-10020.3,2020-01-09,78.45,57.15000000000036
391,2020-01-10,DU1507426,Stock,TJX,-164.0,61.05,-10012.2,2020-01-09,62.64,-260.76000000000056
392,2020-01-10,DU1507426,Stock,OKE,-132.0,75.6,-9979.2,2020-01-09,75.61,-1.3200000000006753
393,2020-01-10,DU1507426,Stock,K,-145.0,69.13,-10023.85,2020-01-09,69.14,-1.4500000000007418
394,2020-01-10,DU1507426,Stock,KR,-349.0,28.59,-9977.91,2020-01-09,28.44,52.349999999999504
395,2020-01-10,DU1507426,Stock,FBHS,-153.0,65.27,-9986.31,2020-01-09,66.63,-208.08
396,2020-01-10,DU1507426,Stock,HOG,-276.0,36.51,-10076.76,2020-01-09,36.26,69.0
397,2020-01-10,DU1507426,Stock,XLNX,-201.0,100.36,-20172.36,2020-01-09,101.51,-231.15000000000114
398,2020-01-10,DU1507426,Stock,URI,61.0,165.16,10074.76,2020-01-09,163.23,-117.73000000000042
399,2020-01-10,DU1507426,Stock,SCHW,-212.0,47.35,-10038.2,2020-01-09,48.11,-161.1199999999996
400,2020-01-10,DU1507426,Stock,BA,-30.0,332.05,-9961.5,2020-01-09,336.34,-128.6999999999989
401,2020-01-10,DU1507426,Stock,HPE,-635.0,15.76,-10007.6,2020-01-09,15.67,57.149999999999906
402,2020-01-10,DU1507426,Stock,GM,-289.0,34.98,-10109.22,2020-01-09,35.08,-28.90000000000041
403,2020-01-10,DU1507426,Stock,CLX,-66.0,152.16,-10042.56,2020-01-09,152.8,-42.240000000000975
404,2020-01-10,DU1507426,Stock,EMN,-2.0,75.0,-150.0,2020-01-09,75.37,-0.7400000000000091
405,2020-01-13,DU1507426,Stock,JNPR,-410.0,24.31,-9967.1,2020-01-10,24.16,61.49999999999942
406,2020-01-13,DU1507426,Stock,DHI,-189.0,53.32,-10077.48,2020-01-10,53.77,-85.05000000000054
407,2020-01-13,DU1507426,Stock,DOV,-86.0,116.38,-10008.68,2020-01-10,115.77,52.45999999999995
408,2020-01-13,DU1507426,Stock,WDC,-161.0,62.26,-10023.86,2020-01-10,67.94,-914.48
409,2020-01-13,DU1507426,Stock,CAH,-200.0,50.18,-10036.0,2020-01-10,50.63,-90.00000000000055
410,2020-01-13,DU1507426,Stock,AME,-99.0,101.47,-10045.53,2020-01-10,100.76,70.28999999999938
411,2020-01-13,DU1507426,Stock,WMB,-426.0,23.53,-10023.78,2020-01-10,23.5,12.780000000000484
412,2020-01-13,DU1507426,Stock,LHX,-47.0,210.84,-9909.48,2020-01-10,210.37,22.089999999999947
413,2020-01-13,DU1507426,Stock,CHTR,-21.0,485.32,-10191.72,2020-01-10,505.03,-413.9099999999996
414,2020-01-13,DU1507426,Stock,ITW,-56.0,177.98,-9966.88,2020-01-10,178.24,-14.560000000001082
415,2020-01-13,DU1507426,Stock,NWSA,-708.0,14.11,-9989.88,2020-01-10,14.35,-169.92000000000016
416,2020-01-13,DU1507426,Stock,DTE,-78.0,129.16,-10074.48,2020-01-10,128.94,17.159999999999908
417,2020-01-13,DU1507426,Stock,ROK,-49.0,203.28,-9960.72,2020-01-10,205.09,-88.69000000000011
418,2020-01-13,DU1507426,Stock,NLSN,496.0,20.16,9999.36,2020-01-10,19.98,-89.27999999999987
419,2020-01-13,DU1507426,Stock,BKNG,-5.0,2063.67,-10318.35,2020-01-10,2086.9,-116.15000000000008
420,2020-01-13,DU1507426,Stock,COTY,-952.0,10.52,-10015.04,2020-01-10,10.6,-76.16000000000007
421,2020-01-13,DU1507426,Stock,CXO,-117.0,85.82,-10040.94,2020-01-10,89.08,-381.4200000000006
422,2020-01-13,DU1507426,Stock,FITB,-336.0,29.91,-10049.76,2020-01-10,29.76,50.39999999999952
423,2020-01-13,DU1507426,Stock,PPG,76.0,130.4,9910.4,2020-01-10,128.09,-175.56000000000012
424,2020-01-13,DU1507426,Stock,JWN,-251.0,40.51,-10168.01,2020-01-10,41.75,-311.2400000000005
425,2020-01-13,DU1507426,Stock,L,-192.0,51.98,-9980.16,2020-01-10,52.07,-17.280000000000655
426,2020-01-13,DU1507426,Stock,PPL,-283.0,35.3,-9989.9,2020-01-10,35.44,-39.62000000000016
427,2020-01-13,DU1507426,Stock,ADI,84.0,119.83,10065.72,2020-01-10,118.57,-105.84000000000044
428,2020-01-13,DU1507426,Stock,UTX,-65.0,152.81,-9932.65,2020-01-10,151.86,61.74999999999925
429,2020-01-13,DU1507426,Stock,DVA,133.0,75.14,9993.62,2020-01-10,75.95,107.7300000000003
