;;;;
; PRODUCT:INDEX;;EXCHANGE: Cboe;
DATE;CALL;PUT;TOTAL;P/C Ratio
07/27/2015;894179;1061546;1955725;1.19
07/28/2015;641274;760489;1401763;1.19
07/29/2015;616244;606124;1222368;0.98
07/30/2015;519166;549768;1068934;1.06
07/31/2015;511055;772290;1283345;1.51
08/03/2015;862489;831623;1694112;0.96
08/04/2015;445739;490712;936451;1.1
08/05/2015;658317;647767;1306084;0.98
08/06/2015;822876;951124;1774000;1.16
08/07/2015;815822;1061817;1877639;1.3
08/10/2015;1823683;680421;2504104;0.37
08/11/2015;901098;966138;1867236;1.07
08/12/2015;1437634;1452809;2890443;1.01
08/13/2015;904340;840812;1745152;0.93
08/14/2015;794963;822261;1617224;1.03
08/17/2015;1192979;848897;2041876;0.71
08/18/2015;1004629;873562;1878191;0.87
08/19/2015;1218503;1295399;2513902;1.06
08/20/2015;1378717;1875781;3254498;1.36
08/21/2015;1889090;3113121;5002211;1.65
08/24/2015;1960437;2619517;4579954;1.34
08/25/2015;1503929;2060681;3564610;1.37
08/26/2015;2009815;1936369;3946184;0.96
08/27/2015;1191346;1694361;2885707;1.42
08/28/2015;858026;1318591;2176617;1.54
08/31/2015;751235;1061971;1813206;1.41
09/01/2015;1333285;1792762;3126047;1.34
09/02/2015;666317;1243102;1909419;1.87
09/03/2015;1011823;1304620;2316443;1.29
09/04/2015;706494;1310151;2016645;1.85
09/08/2015;935758;947583;1883341;1.01
09/09/2015;785444;945152;1730596;1.2
09/10/2015;889583;1169493;2059076;1.31
09/11/2015;867401;1154184;2021585;1.33
09/14/2015;757799;701954;1459753;0.93
09/15/2015;1035175;1241029;2276204;1.2
09/16/2015;939607;1304884;2244491;1.39
09/17/2015;1240775;1095386;2336161;0.88
09/18/2015;875788;1081716;1957504;1.24
09/21/2015;899906;1088060;1987966;1.21
09/22/2015;891548;936172;1827720;1.05
09/23/2015;682187;783295;1465482;1.15
09/24/2015;901622;852952;1754574;0.95
