"Symbole","Date/Heure","Quantité","Prix Trans.","Produit","Comm/Tarif","Base","P/L Réalisé","% P&L réalisé","Code"
"ETFC","2019-10-21, 11:13:04",275,40.93,-11255.75,-1.38,10019.38,-1237.74,-12.35,"C;P"
"ETFC","2019-10-25, 09:30:01",244,40.7857377,-9951.72,-1.22,9952.94,0,0,"O;P"
"ETN","2019-10-14, 10:15:38",-123,81.2,9987.6,-1.22,-9986.38,0,0,"O;P"
"ETN","2019-10-24, 09:38:52",123,84.8,-10430.4,-1,9986.38,-445.02,-4.46,"C;P"
"ETN","2019-10-25, 09:35:00",118,84.42,-9961.56,-1,9962.56,0,0,"O"
"ETN","2019-10-30, 09:30:14",-95,88.8,8436,-1.19,-8020.71,414.11,5.16,"C;P"
"ETN","2019-11-05, 09:37:43",-23,90.98,2092.54,-1.05,-1941.85,149.64,7.71,"C"
"EXPE","2019-10-16, 09:30:09",-75,136.98,10273.5,-1.22,-9948.25,324.03,3.26,"C"
"EXPE","2019-11-05, 09:30:05",74,135.47,-10024.78,-1,10025.78,0,0,"O"
"FANG","2019-10-23, 10:05:05",-118,85.52,10091.36,-1.22,-10051.06,39.08,0.39,"C;P"
"FANG","2019-10-24, 09:38:23",115,87.33,-10042.95,-1,10043.95,0,0,"O;P"
"FANG","2019-10-28, 09:30:08",-115,87.98,10117.7,-1.22,-10043.95,72.53,0.72,"C;P"
"FANG","2019-10-31, 09:30:30",118,84,-9912,-1,9913,0,0,"O"
"FANG","2019-11-05, 09:30:12",-118,90.9030508,10726.56,-1.24,-9913,812.32,8.19,"C;P"
"FANG","2019-11-08, 09:30:08",132,74.94,-9892.08,-1,9893.08,0,0,"O"
"FB","2019-10-30, 09:30:14",-55,190.26,10464.3,-1.22,-9969.75,493.33,4.95,"C"
"FBHS","2019-10-21, 09:32:15",-187,58.8,10995.6,-1.25,-9794.19,1200.16,12.25,"C;P"
"FBHS","2019-10-25, 09:30:22",164,60.7920732,-9969.9,-1,9970.9,0,0,"O;P"
"FBHS","2019-10-30, 09:30:03",-164,60.61,9940.04,-1.23,-9970.9,-32.09,-0.32,"C;P"
"FBHS","2019-11-04, 09:39:53",163,61.52,-10027.76,-1,10028.76,0,0,"O;P"
"FDX","2019-10-23, 09:32:33",-71,154.32,10956.72,-1.24,-9922.54,1032.94,10.41,"C"
"FDX","2019-10-30, 09:30:13",63,157.99,-9953.37,-1,9954.37,0,0,"O"
"FDX","2019-11-06, 09:43:58",-63,164.52,10364.76,-1.22,-9954.37,409.17,4.11,"C"
"FDX","2019-11-08, 09:30:23",61,163.89,-9997.29,-1,9998.29,0,0,"O"
"FITB","2019-10-03, 09:30:00",360,25.99,-9356.4,-1.8,9995.15,636.95,6.37,"C;P"
"FITB","2019-10-07, 09:30:01",378,26.55,-10035.9,-1.89,10037.79,0,0,"O"
"FLIR","2019-10-14, 09:37:30",-189,52.87,9992.43,-1.23,-9991.2,0,0,"O;P"
"FLIR","2019-10-25, 09:30:01",189,53.69,-10147.41,-1,9991.2,-157.21,-1.57,"C"
"FLIR","2019-11-06, 10:18:20",-186,53.47,9945.42,-1.23,-9944.19,0,0,"O;P"
"FLS","2019-10-03, 09:30:25",214,43.7653271,-9365.78,-1.07,10014.9,648.05,6.47,"C;P"
"FLS","2019-10-07, 09:30:50",225,44.6,-10035,-1.12,10036.12,0,0,"O;P"
"FLS","2019-10-29, 09:46:27",-225,49.12,11052,-1.38,-10036.12,1014.49,10.11,"C;P"
"FLS","2019-10-31, 09:31:37",201,49.6042786,-9970.46,-1,9971.46,0,0,"O;P"
"FLS","2019-11-01, 09:30:37",-201,49.3549751,9920.35,-1.23,-9971.46,-52.35,-0.52,"C;P"
"FLS","2019-11-06, 09:44:51",-202,49.350099,9968.72,-1.24,-9967.48,0,0,"O;P"
"FLS","2019-11-07, 10:08:05",202,49.68,-10035.36,-1.01,9967.48,-68.89,-0.69,"C;P"
"FLS","2019-11-08, 09:30:54",203,49.06,-9959.18,-1.02,9960.2,0,0,"O;P"
"FLT","2019-10-08, 14:48:50",-35,284.02,9940.7,-1.21,-10095.7,-156.21,-1.55,"C"
"FLT","2019-10-10, 09:34:27",35,283.21,-9912.35,-1,9913.35,0,0,"O"
"FLT","2019-10-14, 09:30:26",-35,291.11,10188.85,-1.22,-9913.35,274.28,2.77,"C"
"FLT","2019-10-29, 09:35:16",-33,301.45,9947.85,-1.21,-9946.64,0,0,"O"
"FRC","2019-10-03, 09:30:12",106,91.61,-9710.66,-1,10052.88,341.22,3.39,"C;P"
"FRC","2019-10-11, 09:32:48",-106,96.05,10181.3,-1.22,-10180.08,0,0,"O;P"
"FRC","2019-10-18, 09:30:09",106,103.6411321,-10985.96,-1,10180.08,-806.88,-7.93,"C;P"
"FRC","2019-10-23, 09:32:00",-94,106.02,9965.88,-1.22,-9964.66,0,0,"O"
"FRC","2019-10-29, 09:30:08",94,107.27,-10083.38,-1,9964.66,-119.72,-1.2,"C"
"FRC","2019-11-01, 09:30:33",-94,107.02,10059.88,-1.22,-10058.66,0,0,"O"
"FRT","2019-11-08, 10:02:00",-76,131.82,10018.32,-1.22,-10017.1,0,0,"O;P"
"FTI","2019-10-10, 09:30:12",-388,22.7074227,8810.48,-2.17,-9655.38,-847.07,-8.77,"C;P"
"FTI","2019-10-25, 09:31:09",-484,20.65,9994.6,-2.68,-9991.92,0,0,"O;P"
"GD","2019-10-08, 10:55:07",-56,176.35,9875.6,-1.21,-9944.36,-69.97,-0.7,"C"
"GD","2019-10-21, 09:30:17",-57,175,9975,-1.21,-9973.79,0,0,"O;P"
"GD","2019-11-05, 09:30:29",57,178,-10146,-1,9973.79,-173.21,-1.74,"C"
"GM","2019-10-25, 09:30:14",279,35.8613262,-10005.31,-1.4,10006.7,0,0,"O;P"
"GM","2019-11-04, 09:30:18",-279,38.3,10685.7,-1.65,-10006.7,677.35,6.77,"C;P"
"GOOG","2019-10-08, 14:49:57",-8,1205.26,9642.08,-1.2,-9640.88,0,0,"O"
"GOOGL","2019-10-17, 09:30:01",-8,1249.25,9994,-1.21,-9992.79,0,0,"O"
"GPC","2019-10-21, 09:31:25",99,101.55,-10053.45,-1,10054.45,0,0,"O"
"GPC","2019-10-23, 09:52:46",-99,103.1,10206.9,-1.22,-10054.45,151.23,1.5,"C"
"GPC","2019-10-25, 09:30:06",96,102.5608333,-9845.84,-1,9846.84,0,0,"O;P"
"GPC","2019-11-06, 09:32:45",-96,107.03,10274.88,-1.22,-9846.84,426.82,4.33,"C"
"GPC","2019-11-07, 09:30:30",-93,107.75,10020.75,-1.22,-10019.53,0,0,"O"
"GS","2019-10-30, 09:30:09",48,217.1,-10420.8,-1,10038.95,-382.85,-3.81,"C"
"GS","2019-10-31, 09:30:07",46,215.46,-9911.16,-1,9912.16,0,0,"O"
"GS","2019-11-01, 09:30:30",-46,215.05,9892.3,-1.21,-9912.16,-21.07,-0.21,"C"
"GS","2019-11-04, 09:30:07",-46,219.5,10097,-1.21,-10095.79,0,0,"O"
"GWW","2019-10-07, 09:30:23",34,291.55,-9912.7,-1,9913.7,0,0,"O"
"GWW","2019-10-16, 09:33:37",-34,306.73,10428.82,-1.22,-9913.7,513.9,5.18,"C"
"GWW","2019-10-17, 09:30:20",-33,308.64,10185.12,-1.21,-10183.91,0,0,"O;P"
"GWW","2019-11-06, 09:32:00",33,323.06,-10660.98,-1,10183.91,-478.07,-4.69,"C"
"HAS","2019-10-11, 09:30:07",-84,120,10080,-1.22,-10038.16,40.62,0.4,"C"
"HAS","2019-10-21, 09:39:04",82,122.2,-10020.4,-1,10021.4,0,0,"O"
"HBI","2019-10-04, 09:30:10",-689,14.5641945,10034.73,-3.73,-10031,0,0,"O;P"
"HCA","2019-10-23, 09:30:16",-77,125.05,9628.85,-1.21,-9714.55,-86.91,-0.89,"C"
"HCA","2019-10-24, 09:32:59",80,125.5,-10040,-1,10041,0,0,"O"
"HCA","2019-11-07, 09:30:24",-80,135.41,10832.8,-1.23,-10041,790.57,7.87,"C"
"HCA","2019-11-08, 09:32:34",-73,135.94,9923.62,-1.21,-9922.41,0,0,"O"
"HCP","2019-10-03, 09:30:28",-280,35.81,10026.8,-1.64,-10025.16,0,0,"O;P"
"HCP","2019-10-28, 09:30:14",280,36.2,-10136,-1.4,10025.16,-112.24,-1.12,"C;P"
"HES","2019-10-11, 09:30:07",-152,66.6013158,10123.4,-1.23,-10122.17,0,0,"O;P"
"HFC","2019-10-07, 09:30:23",186,53.69,-9986.34,-1,9990.69,3.35,0.03,"C"
"HFC","2019-10-18, 09:48:35",-182,54.99,10008.18,-1.23,-10006.95,0,0,"O;P"
"HFC","2019-10-24, 09:50:19",182,55.74,-10144.68,-1,10006.95,-138.73,-1.39,"C;P"
"HFC","2019-10-28, 09:30:29",-175,57.59,10078.25,-1.23,-10077.02,0,0,"O;P"
"HIG","2019-10-18, 09:30:20",170,58.73,-9984.1,-1,9985.1,0,0,"O"
"HIG","2019-11-06, 09:30:30",-170,60.32,10254.4,-1.23,-9985.1,268.07,2.68,"C;P"
"HOLX","2019-10-07, 09:31:01",100,48.9,-4890,-1,5008.88,117.88,2.35,"C"
"HOLX","2019-10-25, 09:31:00",-210,47.6552381,10007.6,-1.28,-10006.32,0,0,"O;P"
"HON","2019-10-21, 09:31:09",-60,166.0833333,9965,-1.21,-9965.8,-2.01,-0.02,"C;P"
"HON","2019-11-05, 09:32:34",-56,179.64,10059.84,-1.21,-10058.63,0,0,"O"
"HPQ","2019-10-08, 10:11:28",596,16.53,-9851.88,-2.98,9854.86,0,0,"O"
"HPQ","2019-10-17, 09:33:02",-596,17.02,10143.92,-3.26,-9854.86,285.8,2.9,"C;P"
"HPQ","2019-10-23, 09:31:24",584,17.15,-10015.6,-2.92,10018.52,0,0,"O;P"
"HRB","2019-10-11, 09:30:14",-422,23.8,10043.6,-2.37,-10011.95,29.28,0.29,"C;P"
"HRB","2019-10-14, 09:32:08",-424,23.58,9997.92,-2.38,-9995.54,0,0,"O;P"
"HRL","2019-10-04, 09:30:21",-229,43.1143668,9873.19,-1.38,-9994.7,-122.89,-1.23,"C;P"
"HRL","2019-10-07, 09:30:23",-230,43.6669565,10043.4,-1.39,-10042.01,0,0,"O;P"
"HRL","2019-10-16, 09:31:53",230,41.0843478,-9449.4,-1.15,10042.01,591.46,5.89,"C;P"
"HRL","2019-10-18, 11:38:17",-245,40.78,9991.1,-1.46,-9989.64,0,0,"O"
"HRL","2019-10-23, 09:30:16",245,40.61,-9949.45,-1.22,9989.64,38.96,0.39,"C;P"
"HRL","2019-10-24, 09:30:23",245,40.7859184,-9992.55,-1.22,9993.78,0,0,"O;P"
"HRL","2019-10-28, 09:30:20",-245,40.67,9964.15,-1.46,-9993.78,-31.09,-0.31,"C"
"HRL","2019-10-29, 09:30:18",247,40.5304858,-10011.03,-1.23,10012.26,0,0,"O;P"
"HRL","2019-10-31, 09:30:14",-247,40.8681781,10094.44,-1.47,-10012.27,80.7,0.81,"C;P"
"HRL","2019-11-05, 09:30:22",-240,41.6,9984,-1.44,-9982.56,0,0,"O;P"
"HSIC","2019-10-10, 09:30:38",161,62.23,-10019.03,-1,10020.03,0,0,"O;P"
"HSIC","2019-10-30, 09:31:58",-161,62.99,10141.39,-1.23,-10020.03,120.13,1.2,"C"
"HSIC","2019-11-01, 09:30:13",-160,62.585,10013.6,-1.23,-10012.37,0,0,"O;P"
"HSIC","2019-11-05, 09:30:05",160,65.86,-10537.6,-1,10012.37,-526.23,-5.26,"C;P"
"HSY","2019-10-10, 09:30:07",66,155.61,-10270.26,-1,10107.34,-163.92,-1.62,"C"
"IBM","2019-10-03, 09:30:07",71,141.66,-10057.86,-1,10058.86,0,0,"O;P"
"IBM","2019-10-11, 09:30:05",-71,142.66,10128.86,-1.22,-10058.86,68.78,0.68,"C"
"IBM","2019-10-16, 09:30:07",70,142.66,-9986.2,-1,9987.2,0,0,"O"
"IBM","2019-11-06, 09:30:17",-70,138,9660,-1.21,-9987.2,-328.41,-3.29,"C"
"ILMN","2019-10-10, 09:30:01",34,296.96,-10096.64,-1,10097.64,0,0,"O"
"ILMN","2019-10-14, 09:30:02",-34,301.97,10266.98,-1.22,-10097.64,168.12,1.66,"C"
"INCY","2019-10-30, 09:30:05",120,83.52,-10022.4,-1,10023.4,0,0,"O;P"
"IPG","2019-10-04, 09:40:21",488,20.54,-10023.52,-2.44,10025.96,0,0,"O;P"
"IPGP","2019-10-03, 09:30:30",78,129.18,-10076.04,-1,10077.04,0,0,"O"
"IPGP","2019-10-21, 09:30:17",-78,136.38,10637.64,-1.23,-10077.04,559.37,5.55,"C"
"IPGP","2019-10-25, 09:30:01",72,139.38,-10035.36,-1,10036.36,0,0,"O"
"IPGP","2019-10-30, 09:30:09",-72,124.5159722,8965.15,-1.19,-10036.36,-1072.4,-10.69,"C;P"
"IPGP","2019-10-31, 09:31:34",-75,133.29,9996.75,-1.22,-9995.53,0,0,"O"
"IPGP","2019-11-06, 09:30:18",75,153.09,-11481.75,-1,9995.53,-1487.22,-14.88,"C"
"IPGP","2019-11-07, 14:50:41",67,148.84,-9972.28,-1,9973.28,0,0,"O"
"IR","2019-10-10, 09:30:14",81,114.26,-9255.06,-1,9951.25,695.19,6.99,"C;P"
"IR","2019-10-21, 14:50:15",85,117.53,-9990.05,-1,9991.05,0,0,"O"
"IR","2019-11-01, 09:30:14",-85,127.79,10862.15,-1.23,-9991.05,869.87,8.71,"C;P"
"IR","2019-11-05, 09:30:23",-76,131.13,9965.88,-1.22,-9964.66,0,0,"O;P"
"IRM","2019-10-16, 09:30:11",304,32.8463158,-9985.28,-1.52,9986.8,0,0,"O;P"
"ISRG","2019-10-03, 09:31:06",20,512.88,-10257.6,-1,10258.6,0,0,"O"
"ISRG","2019-10-16, 09:30:26",-20,527.15,10543,-1.22,-10258.6,283.18,2.76,"C"
"ISRG","2019-10-23, 09:30:11",-19,535.25,10169.75,-1.21,-10168.54,0,0,"O"
"IT","2019-10-17, 09:33:59",69,145.97,-10071.93,-1,10072.93,0,0,"O"
"IVZ","2019-10-14, 09:30:42",591,15.74,-9302.34,-2.96,10014.22,708.92,7.08,"C;P"
"IVZ","2019-10-18, 09:31:31",639,15.64,-9993.96,-3.2,9997.15,0,0,"O"
"IVZ","2019-10-21, 09:30:48",-639,16.1637402,10328.63,-3.48,-9997.15,327.99,3.28,"C;P"
"IVZ","2019-10-25, 09:30:11",589,16.9666044,-9993.33,-2.94,9996.28,0,0,"O;P"
"JEC","2019-10-03, 09:30:06",107,87.74,-9388.18,-1,9988.3,599.12,6,"C;P"
"JEC","2019-10-16, 09:30:07",108,92.19,-9956.52,-1,9957.52,0,0,"O;P"
"JEC","2019-10-18, 15:08:39",-108,93.07,10051.56,-1.22,-9957.52,92.82,0.93,"C"
"JEC","2019-10-23, 09:30:29",-107,93.33,9986.31,-1.22,-9985.09,0,0,"O;P"
"JEC","2019-10-29, 09:30:22",107,94.0980374,-10068.49,-1,9985.09,-84.4,-0.85,"C;P"
"JEC","2019-10-31, 09:34:23",-106,94.65,10032.9,-1.22,-10031.68,0,0,"O;P"
"JEC","2019-11-08, 09:30:21",106,95.63,-10136.78,-1,10031.68,-106.1,-1.06,"C"
"JEF","2019-10-29, 09:31:56",-494,18.9,9336.6,-2.72,-9015.75,318.13,3.53,"C;P"
"JNPR","2019-11-07, 09:33:58",420,26.01,-10924.2,-2.1,10143.64,-782.66,-7.72,"C"
"JNPR","2019-11-08, 09:30:31",-388,25.72,9979.36,-2.19,-9977.17,0,0,"O;P"
"JPM","2019-10-11, 09:30:13",-88,116.11,10217.68,-1.22,-10216.46,0,0,"O"
"K","2019-10-30, 09:31:03",-20,63.1,1262,-1.03,-1278.2,-17.23,-1.35,"C"
"KLAC","2019-10-17, 09:30:01",-63,161.37,10166.31,-1.22,-10165.09,0,0,"O"
"KMX","2019-11-05, 09:35:37",-118,95.3430508,11250.48,-1.25,-9999.34,1249.89,12.5,"C;P"
"KR","2019-10-03, 09:33:03",-391,25,9775,-2.2,-9945.99,-173.2,-1.74,"C;P"
"KR","2019-10-04, 09:30:09",-408,24.544902,10014.32,-2.3,-10012.02,0,0,"O;P"
"KR","2019-10-18, 09:30:20",408,24.42,-9963.36,-2.04,10012.02,46.62,0.47,"C;P"
"KR","2019-10-21, 09:30:08",-419,23.99,10051.81,-2.35,-10049.46,0,0,"O;P"
"KR","2019-10-28, 09:32:14",419,25.33,-10613.27,-2.09,10049.46,-565.91,-5.63,"C;P"
"KR","2019-10-29, 09:30:32",394,24.8725381,-9799.78,-1.97,9801.75,0,0,"O;P"
"KR","2019-10-30, 09:32:35",-394,24.58,9684.52,-2.22,-9801.75,-119.45,-1.22,"C;P"
"KR","2019-10-31, 09:30:17",-405,24.8490617,10063.87,-2.28,-10061.59,0,0,"O;P"
"KR","2019-11-04, 10:16:02",405,25.04,-10141.2,-2.02,10061.59,-81.64,-0.81,"C;P"
"KR","2019-11-06, 09:30:30",-359,27.92,10023.28,-2.05,-10021.23,0,0,"O;P"
"KR","2019-11-07, 09:55:09",359,27.05,-9710.95,-1.8,10021.23,308.49,3.08,"C"
"KR","2019-11-08, 09:33:40",370,26.91,-9956.7,-1.85,9958.55,0,0,"O;P"
"L","2019-10-04, 09:30:08",-24,49.09,1178.16,-1.03,-1230.76,-53.63,-4.36,"C"
"L","2019-10-10, 09:31:01",-204,49.05,10006.2,-1.25,-10004.95,0,0,"O;P"
"L","2019-10-16, 09:30:05",204,51.1,-10424.4,-1.02,10004.95,-420.47,-4.2,"C;P"
"L","2019-11-08, 09:30:27",195,51.03,-9950.85,-1,9951.85,0,0,"O;P"
"LB","2019-10-17, 09:31:00",-563,17.9042096,10080.07,-3.09,-10076.98,0,0,"O;P"
"LB","2019-10-21, 09:31:52",563,16.2753286,-9163.01,-2.82,10076.98,911.15,9.04,"C;P"
"LB","2019-10-23, 09:30:15",-566,17.69,10012.54,-3.1,-10009.44,0,0,"O;P"
"LEG","2019-10-14, 09:30:10",244,40.85,-9967.4,-1.22,9968.62,0,0,"O;P"
"LEG","2019-10-29, 09:33:32",-244,47.992459,11710.16,-1.49,-9968.62,1740.05,17.46,"C;P"
"LEN","2019-10-18, 09:30:19",-187,61.0053476,11408,-1.26,-9953.14,1453.6,14.6,"C;P"
"LEN","2019-11-07, 09:30:08",-169,59.2,10004.8,-1.23,-10003.57,0,0,"O;P"
"LKQ","2019-10-07, 09:30:01",39,30.57,-1192.23,-1,1245.02,51.79,4.16,"C"
"LKQ","2019-10-14, 09:30:01",324,30.81,-9982.44,-1.62,9984.06,0,0,"O;P"
"LKQ","2019-10-23, 09:30:54",-324,31.8414815,10316.64,-1.87,-9984.06,330.71,3.31,"C;P"
"LKQ","2019-10-30, 09:30:14",316,31.64,-9998.24,-1.58,9999.82,0,0,"O;P"
"LLY","2019-10-28, 09:31:10",-89,110.43,9828.27,-1.21,-10021.51,-194.45,-1.94,"C"
"LMT","2019-10-21, 09:32:26",3,373.22,-1119.66,-1,1190.15,69.49,5.84,"C"
"LMT","2019-11-01, 09:30:33",-27,378.5,10219.5,-1.21,-10218.29,0,0,"O"
"LMT","2019-11-05, 09:30:09",27,374.48,-10110.96,-1,10218.29,106.33,1.04,"C"
"LNC","2019-10-04, 09:30:05",165,55.67,-9185.55,-1,9999.42,812.87,8.13,"C;P"
"LNC","2019-10-07, 09:30:46",-178,56.42,10042.76,-1.23,-10041.53,0,0,"O;P"
"LNC","2019-10-14, 09:30:10",178,57.98,-10320.44,-1,10041.53,-279.91,-2.79,"C"
"LNC","2019-10-16, 09:31:46",-170,58.91,10014.7,-1.23,-10013.47,0,0,"O;P"
"LNC","2019-10-23, 09:30:15",170,61.27,-10415.9,-1,10013.47,-403.43,-4.03,"C;P"
"LNC","2019-10-24, 09:44:47",162,61.93,-10032.66,-1,10033.66,0,0,"O;P"
"LNC","2019-10-25, 09:34:08",-162,60.9414815,9872.52,-1.22,-10033.66,-162.36,-1.62,"C;P"
"LNC","2019-10-29, 09:30:11",161,62.09,-9996.49,-1,9997.49,0,0,"O;P"
"LNC","2019-11-05, 09:30:22",-161,59.79,9626.19,-1.22,-9997.49,-372.52,-3.73,"C"
"LOW","2019-10-10, 09:31:50",92,106.51,-9798.92,-1,10098.54,298.62,2.96,"C"
"LOW","2019-10-14, 09:30:56",-90,110.59,9953.1,-1.22,-9951.88,0,0,"O"
"LOW","2019-10-16, 09:31:22",90,112.41,-10116.9,-1,9951.88,-166.02,-1.67,"C"
"LOW","2019-11-01, 09:33:45",-90,111.75,10057.5,-1.22,-10056.28,0,0,"O"
"LRCX","2019-10-29, 09:30:03",-42,280.69,11788.98,-1.25,-9828.58,1959.15,19.93,"C"
"LRCX","2019-11-01, 09:30:12",-37,272.81,10093.97,-1.21,-10092.76,0,0,"O"
"LRCX","2019-11-06, 09:30:10",37,276.18,-10218.66,-1,10092.76,-126.9,-1.26,"C;P"
"LUV","2019-10-03, 09:30:05",-187,51.94,9712.78,-1.22,-9879.21,-167.65,-1.7,"C;P"
"LUV","2019-10-04, 09:31:07",-192,52.16,10014.72,-1.23,-10013.49,0,0,"O;P"
"LUV","2019-10-16, 09:30:15",192,54.27,-10419.84,-1,10013.49,-407.35,-4.07,"C;P"
"LUV","2019-10-21, 09:31:03",-187,53.9986096,10097.74,-1.23,-10096.51,0,0,"O;P"
"LUV","2019-10-30, 09:30:05",187,57.21,-10698.27,-1,10096.51,-602.76,-5.97,"C;P"
"LUV","2019-11-01, 09:32:05",178,56.24,-10010.72,-1,10011.72,0,0,"O;P"
"LYB","2019-10-03, 09:32:13",-119,84.24,10024.56,-1.22,-10023.34,0,0,"O;P"
"MAR","2019-11-05, 09:30:14",76,128.49,-9765.24,-1,9766.24,0,0,"O"
"MAR","2019-11-06, 09:30:14",-76,133.42,10139.92,-1.22,-9766.24,372.46,3.81,"C"
"MAS","2019-10-10, 09:47:10",-239,41.9141841,10017.49,-1.43,-10016.06,0,0,"O;P"
"MAS","2019-10-23, 09:30:45",239,44.34,-10597.26,-1.2,10016.06,-582.4,-5.81,"C"
"MAS","2019-10-30, 09:33:18",-224,45,10080,-1.36,-10078.64,0,0,"O"
"MCHP","2019-10-07, 09:30:24",-107,93.5565421,10010.55,-1.22,-10009.33,0,0,"O;P"
"MCK","2019-10-18, 09:30:19",66,149.9,-9893.4,-1,9894.4,0,0,"O;P"
"MCO","2019-10-07, 09:31:12",-49,205.75,10081.75,-1.21,-10080.54,0,0,"O"
"MCO","2019-10-21, 09:40:47",49,217.73,-10668.77,-1,10080.54,-589.23,-5.85,"C"
"MCO","2019-10-30, 10:01:08",-45,219.96,9898.2,-1.21,-9896.99,0,0,"O"
"MCO","2019-11-06, 09:30:48",45,213.49,-9607.05,-1,9896.99,288.94,2.92,"C"
"MDT","2019-10-03, 09:30:04",94,105.88,-9952.72,-1,9953.72,0,0,"O"
"MDT","2019-10-29, 09:40:30",-94,106.01,9964.94,-1.22,-9953.72,10,0.1,"C"
"MDT","2019-10-30, 09:30:14",-93,107.53,10000.29,-1.22,-9999.07,0,0,"O;P"
"MET","2019-10-23, 09:30:19",-26,46.47,1208.22,-1.03,-1247.7,-40.51,-3.25,"C"
"MET","2019-11-04, 09:30:18",-212,47.2,10006.4,-1.29,-10005.11,0,0,"O;P"
"MGM","2019-10-03, 09:30:24",-370,27.0681081,10015.2,-2.1,-10013.1,0,0,"O;P"
"MKC","2019-10-03, 09:30:12",-61,165.08,10069.88,-1.22,-10068.66,0,0,"O"
"MKC","2019-10-25, 09:35:00",61,160.32,-9779.52,-1,10068.66,288.14,2.86,"C"
"MKC","2019-10-29, 09:33:10",62,160.54,-9953.48,-1,9954.48,0,0,"O"
"MNST","2019-10-23, 09:30:09",179,55.92,-10009.68,-1,10010.68,0,0,"O;P"
"MNST","2019-10-24, 09:30:08",-179,56.09,10040.11,-1.23,-10010.68,28.2,0.28,"C;P"
"MNST","2019-10-30, 09:30:00",178,56.26,-10014.28,-1,10015.28,0,0,"O;P"
"MNST","2019-11-06, 09:30:10",-178,56.75,10101.5,-1.23,-10015.28,84.99,0.85,"C"
"MOS","2019-10-08, 10:11:30",521,19.21,-10008.41,-2.6,10011.02,0,0,"O;P"
"MOS","2019-10-31, 09:36:39",-521,20.14,10492.94,-2.88,-10011.02,479.04,4.79,"C;P"
"MOS","2019-11-06, 09:30:19",460,21.0447826,-9680.6,-2.3,9682.9,0,0,"O;P"
"MPC","2019-10-04, 09:30:08",-166,60.05,9968.3,-1.23,-9833.18,133.89,1.36,"C"
"MPC","2019-10-21, 09:30:10",-154,65.3709091,10067.12,-1.23,-10065.89,0,0,"O;P"
"MRK","2019-10-18, 09:31:33",119,83.77,-9968.63,-1,9969.63,0,0,"O;P"
"MRK","2019-10-31, 09:30:46",-119,86.06,10241.14,-1.23,-9969.63,270.28,2.71,"C;P"
"MRK","2019-11-01, 09:31:21",-116,86.96,10087.36,-1.22,-10086.14,0,0,"O"
"MRK","2019-11-05, 09:30:55",116,83.72,-9711.52,-1,10086.14,373.62,3.7,"C"
"MSFT","2019-10-03, 09:30:04",72,134.84,-9708.48,-1,10031.18,321.7,3.21,"C"
"MTB","2019-11-06, 09:34:05",-64,165.85,10614.4,-1.23,-9970.28,642.89,6.45,"C"
"MU","2019-10-07, 09:30:01",204,44.3682353,-9051.12,-1.02,10027.39,975.25,9.73,"C;P"
"MU","2019-10-10, 09:30:05",233,42.88,-9991.04,-1.16,9992.2,0,0,"O;P"
"MU","2019-11-01, 09:30:00",-233,47.46,11058.18,-1.42,-9992.2,1064.55,10.65,"C"
"MU","2019-11-04, 09:30:09",-207,49.29,10203.03,-1.27,-10201.76,0,0,"O;P"
"MU","2019-11-08, 09:30:02",207,47.67,-9867.69,-1.04,10201.76,333.03,3.26,"C;P"
"MXIM","2019-10-14, 09:30:37",-174,57.62,10025.88,-1.23,-10024.65,0,0,"O;P"
"MXIM","2019-10-18, 09:30:07",174,58.19,-10125.06,-1,10024.65,-101.41,-1.01,"C;P"
"MXIM","2019-11-04, 09:30:09",-165,61.1879394,10096.01,-1.23,-10094.78,0,0,"O;P"
"MXIM","2019-11-08, 09:30:24",165,59.16,-9761.4,-1,10094.78,332.38,3.29,"C;P"
"NCLH","2019-10-11, 09:30:11",-23,48.8,1122.4,-1.03,-1242.77,-121.4,-9.77,"C"
"NCLH","2019-10-17, 09:30:55",202,49.43,-9984.86,-1.01,9985.87,0,0,"O;P"
"NCLH","2019-10-29, 09:30:12",-202,52,10504,-1.25,-9985.87,516.88,5.18,"C;P"
"NCLH","2019-10-30, 09:36:19",190,52.73,-10018.7,-1,10019.7,0,0,"O;P"
"NCLH","2019-11-04, 09:30:10",-190,51.57,9798.3,-1.23,-10019.7,-222.63,-2.22,"C;P"
"NCLH","2019-11-05, 09:30:26",190,52.3410526,-9944.8,-1,9945.8,0,0,"O;P"
"NEM","2019-11-01, 09:31:11",-252,39.65,9991.8,-1.5,-9990.3,0,0,"O;P"
"NI","2019-10-14, 09:31:05",335,29.1970149,-9781,-1.68,10011.23,228.55,2.28,"C;P"
"NKE","2019-10-17, 12:44:02",109,95.07,-10362.63,-1,10025.69,-337.94,-3.37,"C;P"
"NKE","2019-10-25, 09:30:10",109,91.68,-9993.12,-1,9994.12,0,0,"O;P"
"NOV","2019-10-03, 09:34:52",-491,20.43,10031.13,-2.72,-10028.41,0,0,"O;P"
"NOV","2019-11-08, 09:30:14",491,23,-11293,-2.46,10028.41,-1267.05,-12.63,"C;P"
"NSC","2019-10-29, 09:30:04",53,187.44,-9934.32,-1,9935.32,0,0,"O;P"
"NTAP","2019-10-03, 12:48:48",-192,51.28,9845.76,-1.23,-9896.68,-52.15,-0.53,"C;P"
"NTAP","2019-10-31, 09:33:01",-178,56.26,10014.28,-1.23,-10013.05,0,0,"O;P"
